arrival,departure,stops,prices,duration,airline,layover,layover_city
11:25am,7:15pm,2,661,8 hours 50 minutes,Swiss International Air Lines,1 hour 30 minutes,Zürich
11:25am,10:30pm,2,661,12 hours 5 minutes,Swiss International Air Lines,4 hours 10 minutes,Zürich
6:40am,3:05pm,2,662,9 hours 25 minutes,Austrian Airlines,1 hour 55 minutes,Vienna
6:40am,3:05pm,2,662,9 hours 25 minutes,Austrian Airlines,1 hour 5 minutes,Vienna
1:40pm,10:30pm,2,662,9 hours 50 minutes,Austrian Airlines,2 hours 5 minutes,Vienna
1:40pm,10:30pm,2,662,9 hours 50 minutes,Austrian Airlines,1 hour 0 minutes,Vienna
1:40pm,10:30pm,2,662,9 hours 50 minutes,Austrian Airlines,2 hours 55 minutes,Vienna
11:25am,7:15pm,2,671,8 hours 50 minutes,multipleAirlines,1 hour 30 minutes,Zürich
11:25am,9:05pm,2,679,10 hours 40 minutes,multipleAirlines,3 hours 25 minutes,Munich
11:25am,5:30pm,2,686,7 hours 5 minutes,multipleAirlines,1 hour 30 minutes,Frankfurt
12:50pm,7:25pm,2,763,7 hours 35 minutes,Austrian Airlines,1 hour 5 minutes,Vienna
6:10am,3:05pm,2,763,9 hours 55 minutes,Austrian Airlines,3 hours 55 minutes,Vienna
12:50pm,10:30pm,2,763,10 hours 40 minutes,Austrian Airlines,1 hour 5 minutes,Vienna
11:25am,10:30pm,2,769,12 hours 5 minutes,Swiss International Air Lines,1 hour 30 minutes,Zürich
7:00am,3:05pm,2,792,9 hours 5 minutes,Austrian Airlines,2 hours 10 minutes,Vienna
